Date Bought,Ticker,Purchase Price,Shares Bought,Purchase Type,ID
1/11/2023,GLD,173.72,20,LONG,1
1/23/2023,GLD230203C00178000,2.97,500,SHORT,1
2/2/2023,GLD230203C00178000,3.19,-500,SHORT,1
2/9/2023,GLD230217C00174500,2.08,500,SHORT,1
2/9/2023,GLD230217P00174500,1.30,500,SHORT,1
2/13/2023,GLD230217P00174500,2.55,-500,SHORT,1
2/17/2023,GLD230217C00174500,0.01,-500,SHORT,1
2/21/2023,GLD,171.5,-10,LONG,1
2/27/2023,GLD230310C00172000,0.49,500,SHORT,1
3/6/2023,GLD230310C00172000,1.34,-500,SHORT,1
